PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;ONDERWIJSSTRUCTUUR;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Noord-Holland;20187;03FO;03FO01;PC Voortgezet Ond Groep V Lyc Havo Mavo Vbo Lwoo;Lieven de Keylaan;58;1222 LH;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356854130;                                                                                ;VBO/MAVO;Postbus;153;1200 AD;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;20187;03FO;03FO02;PC Voortgezet Ond Groep V Lyc Havo Mavo Vbo Lwoo;Van Ghentlaan;51;1215 PN;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0215040261;www.savorninlohman.nl;VBO/MAVO;Postbus;153;1200 AD;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;20187;03FO;03FO04;PC Voortgezet Ond Groep V Lyc Havo Mavo Vbo Lwoo;Larenseweg;127;1221 CL;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356950172;                                                                                ;VBO/MAVO;Postbus;153;1200 AD;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;20187;03FO;03FO08;CVO Groep v Lyc Havo Mavo Vbo Lwoo;Jan Blankenlaan;8;1222 SW;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;          ;                                                                                ;BRUGJAAR;                        ;            ;       ;                        ;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;21464;16PN;16PN00;Joodse Scholengemeenschap Maimonides voor Ath Mavo En Afd Havo;Noordbrabantstraat;17;1083 BE;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206426161;www.jsgmaimonides.nl;MAVO/HAVO/VWO;Postbus;87058;1080 JB;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26157;16PS;16PS00;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;Pieter de Hoochstraat;59;1071 ED;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205979888;www.msa.nl;VBO/MAVO/HAVO/VWO;Postbus;92048;1090 AA;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26157;16PS;16PS04;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;Rustenburgerstraat;15;1074 EP;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205979360;www.ivko.nl;VBO/MAVO/HAVO;Postbus;92048;1090 AA;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26157;16PS;16PS07;Montessori Scholengemeenschap Amsterdam locatie Metis Montessori Lyceum;Mauritskade;58;1092 AD;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205979301;www.hetMML.nl;VBO/MAVO/HAVO/VWO;Postbus;92048;1090 AA;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26157;16PS;16PS08;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;Polderweg;3;1093 KL;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205979842;www.oostpoort.nl;VBO/MAVO/HAVO/VWO/PRO;Postbus;92048;1090 AA;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26157;16PS;16PS16;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;Tweede Oosterparkstraat;33;1091 HV;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205979804;www.hetmml.nl;VBO/MAVO;Postbus;92065;1090 AB;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
