PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Gelderland;41246;09PH;09PH00;De Vuurvogel;Nachtegaallaan;49;6713 BW;EDE GLD;0228;EDE;Antroposofisch;0318615428;www.vsdevuurvogel.nl;Postbus;40;6710 BA;EDE GLD;29;Ede;10;De Vallei;16;Eem en Vallei;13;Veluwe;09;Arnhem en omstreken;16;Eem en Vallei
Gelderland;41337;04TN;04TN00;Het Anker;Vellengastraat;18;3785 LA;ZWARTEBROEK;0203;BARNEVELD;Protestants-Christelijk;0342461836;                                                                                ;Vellengastraat;18;3785 LA;ZWARTEBROEK;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;08WO;08WO00;Kindcentrum De Vlindertuin;Rochetstraat;4;3781 CZ;VOORTHUIZEN;0203;BARNEVELD;Protestants-Christelijk;0342472633;www.kindcentrum-devlindertuin.nl;Postbus;1;3780 BA;VOORTHUIZEN;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;09BK;09BK00;De Fontein Lijsterhof;Lijsterstraat;2;3772 AV;BARNEVELD;0203;BARNEVELD;Protestants-Christelijk;0342415633;                                                                                ;Postbus;197;3770 AD;BARNEVELD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;09UN;09UN00;Dr W vd Berghschool;Gerard Doustraat;125;3781 EJ;VOORTHUIZEN;0203;BARNEVELD;Protestants-Christelijk;0342471519;www.berghschool.nl;Postbus;14;3780 BA;VOORTHUIZEN;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;09YB;09YB00;School met de Bijbel De Spreng;Van Houtenlaan;3;3771 CT;BARNEVELD;0203;BARNEVELD;Protestants-Christelijk;0342415186;www.desprengbarneveld.nl;Postbus;191;3770 AD;BARNEVELD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;09YN;09YN00;Basisschool De Spreng;Van Dedemlaan;4;3871 TD;HOEVELAKEN;0267;NIJKERK;Protestants-Christelijk;0332534693;www.kindcentrum-desprenghoevelaken.nl;Van Dedemlaan;4;3871 TD;HOEVELAKEN;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;11CG;11CG00;Oranje Nassau Basisschool;Eijkmanplantsoen;3;3861 CW;NIJKERK GLD;0267;NIJKERK;Protestants-Christelijk;0332451708;www.oranje-nassauschool.nl;Eijkmanplantsoen;3;3861 CW;NIJKERK GLD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;12AC;12AC00;De Koningslinde;Larixlaan;86;3862 EV;NIJKERK GLD;0267;NIJKERK;Protestants-Christelijk;0332453214;www.dekoningslinde.com;Postbus;20;3860 AA;NIJKERK GLD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;12JK;12JK00;Christelijke Basisschool Holk;Galjoen;71-73;3863 EN;NIJKERK GLD;0267;NIJKERK;Protestants-Christelijk;0332452557;www.holk.nl;Galjoen;71-73;3863 EN;NIJKERK GLD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;12RV;12RV00;Prins Willem Alexanderschool;Buizerdlaan;2;3862 KG;NIJKERK GLD;0267;NIJKERK;Protestants-Christelijk;0332453636;www.pwa-nijkerk.com;Buizerdlaan;2;3862 KG;NIJKERK GLD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;24RM;24RM00;Basisschool met de Bijbel de Branding;Lange Voren;90;3773 AT;BARNEVELD;0203;BARNEVELD;Protestants-Christelijk;0342424742;www.pcbbranding.nl;Lange Voren;90;3773 AT;BARNEVELD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41337;30VD;30VD00;De Fontein Burgthof;Nederwoudseweg;19-B;3772 TD;BARNEVELD;0203;BARNEVELD;Protestants-Christelijk;0342421142;www.de-fontein.nl;Postbus;197;3770 AD;BARNEVELD;35;Amersfoort;10;De Vallei;16;Eem en Vallei;13;Veluwe;10;Harderwijk-Amersfoort;16;Eem en Vallei
Gelderland;41340;03BY;03BY00;Openbare Basisschool De Wijzer;Heideakkerweg;1;6658 ZZ;BENEDEN-LEEUWEN;0668;WEST MAAS EN WAAL;Openbaar;0487593940;www.kcbenedenleeuwen.nl;Heideakkerweg;1;6658 ZZ;BENEDEN-LEEUWEN;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;03TH;03TH00;Rooms Katholieke Basisschool t Klosterhufke;Kloosterhof;30;6653 BS;DEEST;0225;DRUTEN;Rooms-Katholiek;0487512355;ww.klosterhufke.nl;Kloosterhof;30;6653 BS;DEEST;30;Nijmegen;13;Nijmegen;15;Rivierenland;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
